pmid	title	journal	year	doi	oa_alex	oa_url	epmc_oa
10408639	Substrate and binding specificities of bacterial polyhydroxybutyrate depolymerases.	International journal of biological macromolecules	1999	10.1016/s0141-8130(99)00046-x	N		
10742216	Poly(3-hydroxyvalerate) depolymerase of Pseudomonas lemoignei.	Applied and environmental microbiology	2000	10.1128/aem.66.4.1385-1392.2000	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/91997	
10772473	Characterization of an extracellular poly(3-hydroxy-5-phenylvalerate) depolymerase from Xanthomonas sp. JS02.	Applied microbiology and biotechnology	2000	10.1007/s002530050028	N		
11004196	Mobilization of poly(3-hydroxybutyrate) in Ralstonia eutropha.	Journal of bacteriology	2000	10.1128/jb.182.20.5916-5918.2000	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/94719	
11114905	Cloning of an intracellular Poly[D(-)-3-Hydroxybutyrate] depolymerase gene from Ralstonia eutropha H16 and characterization of the gene product.	Journal of bacteriology	2001	10.1128/jb.183.1.94-100.2001	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/94854	
11267773	Identification of the intracellular polyhydroxyalkanoate depolymerase gene of Paracoccus denitrificans and some properties of the gene product.	FEMS microbiology letters	2001	10.1111/j.1574-6968.2001.tb10558.x	Y	https://academic.oup.com/femsle/article-pdf/196/2/159/19116300/196-2-159.pdf	
11710119	Function of the catalytic domain of poly(3-hydroxybutyrate) depolymerase from Pseudomonas stutzeri.	Biomacromolecules	2000	10.1021/bm000026i	N		
11770850	Degradation of poly (3-hydroxybutyrate) and its copolymer poly (3-hydroxybutyrate-co-3-hydroxyvalerate) by a marine Streptomyces sp. SNG9.	Microbiological research	2001	10.1078/0944-5013-00115	Y	https://www.sciencedirect.com/science/article/pii/S0944501304700440/pdf	
11814660	Purification and properties of D-(-)-3-hydroxybutyrate oligomer hydrolase of Paracoccus denitrificans.	FEMS microbiology letters	2002	10.1111/j.1574-6968.2002.tb11006.x	Y	https://academic.oup.com/femsle/article-pdf/206/2/179/19111027/206-2-179.pdf	
11888314	Characterization of an extracellular medium-chain-length poly(3-hydroxyalkanoate) depolymerase from Pseudomonas alcaligenes LB19.	Biomacromolecules	2002	10.1021/bm010113q	N		
12007811	Production of PHA depolymerase A (PhaZ5) from Paucimonas lemoignei in Bacillus subtilis.	FEMS microbiology letters	2002	10.1111/j.1574-6968.2002.tb11137.x	N		
12070691	Cloning and sequencing of an intracellular D(-)-3-hydroxybutyrate oligomer hydrolase from Acidovorax sp. strain SA1 and purification of the enzyme.	Current microbiology	2002	10.1007/s00284-001-0093-6	N		
12099828	"The ""PHB depolymerase inhibitor"" of Paucimonas lemoignei is a PHB depolymerase."	Biomacromolecules	2002	10.1021/bm025519x	N		
12099829	Enzymatic hydrolysis of bacterial poly(3-hydroxybutyrate-co-3-hydroxypropionate)s by poly(3-hydroxyalkanoate) depolymerase from Acidovorax Sp. TP4.	Biomacromolecules	2002	10.1021/bm020019p	N		
12139978	Biochemical and enzymological properties of the polyhydroxybutyrate synthase from the extremely halophilic archaeon strain 56.	Archives of biochemistry and biophysics	2002	10.1016/s0003-9861(02)00234-5	N		
12194204	Genetic determination of polyhydroxyalkanoate metabolism in Rhodobacter capsulatus SB1003.	Folia biologica	2002	10.14712/fb2002048040157	Y	https://foliabiologica.lf1.cuni.cz/media/pdf/fb_2002048040157.pdf	
12213937	Microbial degradation of polyhydroxyalkanoates.	Annual review of microbiology	2002	10.1146/annurev.micro.56.012302.160838	N		
12217032	Enzymatic hydrolysis of chemosynthesized atactic poly(3-hydroxybutyrate) by poly(3-hydroxyalkanoate) depolymerase from Acidovorax Sp. TP4 and Ralstonia pickettii T1.	Biomacromolecules	2002	10.1021/bm020052b	N		
12632261	Application of crossover-PCR-mediated deletion-insertion mutagenesis to analysis of the bdhA-xdhA2-xdhB2 mixed-function operon of Sinorhizobium meliloti.	Archives of microbiology	2003	10.1007/s00203-003-0532-9	N		
12759786	Effect of inactivation of poly(hydroxyalkanoates) depolymerase gene on the properties of poly(hydroxyalkanoates) in Pseudomonas resinovorans.	Applied microbiology and biotechnology	2003	10.1007/s00253-003-1317-4	N		
12775684	Purification and properties of an intracellular 3-hydroxybutyrate-oligomer hydrolase (PhaZ2) in Ralstonia eutropha H16 and its identification as a novel intracellular poly(3-hydroxybutyrate) depolymerase.	Journal of bacteriology	2003	10.1128/jb.185.12.3485-3490.2003	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/156217	
12785312	Characterization of an extracellular medium-chain-length poly(3-hydroxyalkanoate) depolymerase from Streptomyces sp. KJ-72.	Antonie van Leeuwenhoek	2003	10.1023/a:1023395527073	N		
12813072	Ralstonia eutropha H16 encodes two and possibly three intracellular Poly[D-(-)-3-hydroxybutyrate] depolymerase genes.	Journal of bacteriology	2003	10.1128/jb.185.13.3788-3794.2003	N		
12855176	Identification and characterisation of the catalytic triad of the alkaliphilic thermotolerant PHA depolymerase PhaZ7 of Paucimonas lemoignei.	FEMS microbiology letters	2003	10.1016/s0378-1097(03)00425-7	N		
12898135	Poly beta-hydroxybutyrate depolymerase (PhaZ) in Azospirillum brasilense and characterization of a phaZ mutant.	Archives of microbiology	2003	10.1007/s00203-003-0590-z	N		
14607367	Cloning, expression and characterization of a poly(3-hydroxybutyrate) depolymerase from Marinobacter sp. NK-1.	International journal of biological macromolecules	2003	10.1016/j.ijbiomac.2003.08.006	N		
14757249	The activator of the Rhodospirillum rubrum PHB depolymerase is a polypeptide that is extremely resistant to high temperature (121 degrees C) and other physical or chemical stresses.	FEMS microbiology letters	2004	10.1016/s0378-1097(03)00919-4	Y	https://academic.oup.com/femsle/article-pdf/230/2/265/19114376/230-2-265.pdf	
1476778	Intracellular degradation of poly(3-hydroxybutyrate) granules of Zoogloea ramigera I-16-M.	FEMS microbiology reviews	1992	10.1016/0378-1097(92)90327-k	Y	https://academic.oup.com/femsre/article-pdf/9/2-4/333/18130657/9-2-4-333.pdf	
15060050	Unraveling the function of the Rhodospirillum rubrum activator of polyhydroxybutyrate (PHB) degradation: the activator is a PHB-granule-bound protein (phasin).	Journal of bacteriology	2004	10.1128/jb.186.8.2466-2475.2004	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/412128	
15170237	Roles of poly(3-hydroxybutyrate) depolymerase and 3HB-oligomer hydrolase in bacterial PHB metabolism.	Current microbiology	2004	10.1007/s00284-003-4227-x	N		
15289671	Degradation of microbial polyesters.	Biotechnology letters	2004	10.1023/b:bile.0000036599.15302.e5	N		
15340791	Thermotolerant poly(3-hydroxybutyrate)-degrading bacteria from hot compost and characterization of the PHB depolymerase of Schlegelella sp. KB1a.	Archives of microbiology	2004	10.1007/s00203-004-0684-2	N		
15489436	"The ""intracellular"" poly(3-hydroxybutyrate) (PHB) depolymerase of Rhodospirillum rubrum is a periplasm-located protein with specificity for native PHB and with structural similarity to extracellular PHB depolymerases."	Journal of bacteriology	2004	10.1128/jb.186.21.7243-7253.2004	Y	https://www.ncbi.nlm.nih.gov/pmc/articles/523223	
